title,price,liter,fuel_type,year,transmission,city
Dacia Logan,2350,1.6,Petrol / Gas,2009,Mechanical,Marijampole
Fiat Qubo,2370,1.3,Diesel,2009,Mechanical,Klaipeda
Volkswagen Golf,2390,1.9,Diesel,2006,Mechanical,Klaipeda
Volkswagen Touran,2390,1.9,Diesel,2003,Mechanical,Kaunas
Audi 100,2395,2.8,Petrol / Gas,1991,Mechanical,Radviliskis
Opel Vectra C,2399,2.2,Diesel,2004,Mechanical,Vilnius
Peugeot 407,2399,1.6,Diesel,2007,Mechanical,Vilnius
Skoda Octavia,2399,1.9,Diesel,2008,Mechanical,Vilnius
Opel Meriva,2399,1.4,Gasoline,2007,Mechanical,Kretinga
Volkswagen Sharan I,2399,1.9,Diesel,2005,Mechanical,Kretinga
Ford C-MAX,2399,1.6,Diesel,2007,Mechanical,Kaunas
Opel Astra,2399,1.7,Diesel,2010,Mechanical,Talinas
Subaru Legacy,2399,2.0,Gasoline,2007,Mechanical,Talinas
Chrysler 300C,2399,3.5,Gasoline,2006,Automatic,Talinas
Audi A6,2399,3.0,Diesel,2005,Automatic,Talinas
BMW 118 E87,2399,2.0,Diesel,2005,Mechanical,Kaunas
Honda Accord,2399,2.0,Gasoline,2008,Mechanical,Talinas
Honda Civic,2399,1.8,Gasoline,2006,Mechanical,Talinas
Audi A4,2399,1.9,Diesel,2005,Mechanical,Talinas
Volvo S60,2399,2.4,Gasoline,2005,Automatic,Talinas
Renault Megane,2399,1.4,Gasoline,2007,Mechanical,Talinas
Honda CR-V II,2399,2.0,Gasoline,2004,Mechanical,Vilnius
Honda Civic,2399,1.8,Gasoline,2006,Mechanical,Talinas
Audi A3,2399,1.6,Gasoline,2006,Automatic,Talinas
Skoda Octavia,2399,1.9,Diesel,2007,Mechanical,Talinas
Dodge Avenger,2399,2.0,Diesel,2009,Automatic,Talinas
Chrysler Grand Voyager,2399,2.8,Diesel,2005,Automatic,Talinas
Honda Accord,2399,2.0,Gasoline,2007,Mechanical,Talinas
SEAT Leon,2399,1.9,Diesel,2007,Mechanical,Talinas
Volvo V70,2399,2.4,Petrol / Gas,2006,Automatic,Talinas
MINI ONE,2399,1.6,Gasoline,2002,Mechanical,Talinas
Toyota Avensis,2399,2.4,Gasoline,2004,Automatic,Talinas
Mazda CX-7,2399,2.3,Gasoline,2008,Mechanical,Talinas
Audi A6,2399,2.7,Diesel,2008,Automatic,Talinas
MINI ONE,2400,1.4,Gasoline,2007,Mechanical,Kaunas
Citroen C4,2400,1.6,Diesel,2006,Automatic,Kaunas
Ford Fusion,2400,1.4,Diesel,2008,Mechanical,Kaunas
Citroen C3 Picasso,2400,1.4,Gasoline,2010,Mechanical,Kaunas
Seat Alhambra I,2400,2.0,Diesel,2007,Mechanical,Vilnius
Fiat Ducato,2400,2.5,Diesel,1997,Mechanical,Mazeikiai
Kita Kitas,2400,2.6,Gasoline,1964,Mechanical,Kaunas
Volkswagen Golf,2400,1.9,Diesel,2005,Mechanical,Kupiskis
Skoda Fabia,2400,1.4,Gasoline,2008,Mechanical,Kedainiai
BMW 535,2400,3.0,Diesel,2005,Automatic,Vilnius
Opel Frontera,2400,2.0,Petrol / Gas,1993,Mechanical,Rokiskis
BMW 525,2400,2.5,Diesel,2005,Automatic,Vilnius
Volkswagen Passat B6,2400,2.0,Diesel,2006,Mechanical,Vilnius
Audi A6 C5,2400,1.9,Diesel,1999,Mechanical,Sirvintos
Mercedes-Benz SLK 230,2400,2.3,Gasoline,2000,Mechanical,Klaipeda
Audi A4 B5,2400,1.8,Gasoline,1998,Mechanical,Vilnius
BMW 530 E39,2400,3.0,Diesel,2002,Automatic,Vilnius
Audi A4 B7,2400,2.0,Diesel,2006,Automatic,Siauliai
Hyundai i30,2400,2.0,Diesel,2009,Mechanical,Jurbarkas
Ford Transit,2400,2.0,Diesel,2004,Mechanical,Kedainiai
Volkswagen Caravelle,2400,2.5,Diesel,1999,Mechanical,Taurage
Opel Astra,2400,1.7,Diesel,2010,Mechanical,Siauliai
Citroen C5 II,2400,2.0,Diesel,2006,Automatic,Kaunas
Audi A8 D2,2400,3.3,Diesel,2001,Automatic,Druskininkai
Mitsubishi Lancer,2400,1.5,Gasoline,2008,Mechanical,Vilnius
Volkswagen Multivan,2400,2.4,Diesel,1994,Mechanical,Siauliai
Volkswagen Passat B6,2400,2.0,Diesel,2006,Automatic,Mazeikiai
Audi A4,2400,2.0,Diesel,2006,Mechanical,Vilnius
Peugeot 307 CC,2400,1.6,Gasoline,2005,Mechanical,Akmene
Volkswagen Multivan,2400,2.5,Diesel,1998,Mechanical,Radviliskis
Audi A6 C4,2400,2.8,Gasoline,1996,Mechanical,Alytus
Skoda Fabia,2400,1.2,Diesel,2011,Mechanical,Vilkaviskis
Volkswagen Touran,2400,1.9,Diesel,2004,Mechanical,Jurbarkas
Volkswagen Passat B6,2400,2.0,Diesel,2008,Mechanical,Siauliai
Ssangyong Korando,2400,2.0,Diesel,2013,Mechanical,Vilnius
Volkswagen Passat B6,2400,2.0,Diesel,2006,Mechanical,Kaunas
Volkswagen Passat B6,2400,2.0,Diesel,2008,Mechanical,Ukmerge
Mercedes-Benz 190,2400,1.8,Gasoline,1991,Mechanical,Vilnius
Peugeot 308,2400,1.6,Diesel,2009,Mechanical,Vilnius
Toyota Corolla,2400,2.0,Diesel,2004,Mechanical,Vilnius
Renault Twingo II,2400,1.2,Petrol / Gas,2010,Mechanical,Palanga
Toyota Yaris,2450,1.0,Gasoline,2008,Mechanical,Marijampole
Volkswagen Touareg I,2450,5.0,Diesel,2004,Automatic,Varena
Volkswagen Touran,2450,2.0,Diesel,2006,Mechanical,Kaunas
Skoda Octavia,2450,1.9,Diesel,2008,Mechanical,Vilnius
Opel Zafira,2450,1.9,Diesel,2006,Mechanical,Mazeikiai
Mercedes-Benz B 180,2450,2.0,Diesel,2007,Mechanical,Kaunas
Peugeot 308,2450,1.6,Diesel,2009,Mechanical,Siauliai
Volkswagen Transporter,2450,2.5,Diesel,1999,Mechanical,Vilnius
BMW 318,2450,2.0,Gasoline,2003,Mechanical,Mazeikiai
BMW 320,2450,2.0,Diesel,2002,Mechanical,Kedainiai
Citroen Nemo,2450,1.4,Gasoline,2012,Mechanical,Vilnius
Skoda Fabia,2450,1.4,Diesel,2008,Mechanical,Kedainiai
Toyota Avensis II,2450,2.0,Diesel,2004,Mechanical,Klaipeda
Opel Meriva,2450,1.6,Gasoline,2005,Automatic,Kedainiai
Volkswagen Passat,2450,2.0,Diesel,2007,Mechanical,Kazlu Ruda
Lada Niva,2450,1.7,Gasoline,2009,Mechanical,Utena
Seat Leon II,2450,1.9,Diesel,2006,Mechanical,Kaunas
Opel Meriva,2450,1.4,Gasoline,2006,Mechanical,Kretinga
Opel Zafira,2450,1.9,Diesel,2009,Mechanical,Sakiai
Volkswagen Passat,2450,2.0,Diesel,2007,Mechanical,Druskininkai
Audi A6,2450,2.5,Diesel,1996,Mechanical,Lazdijai
Volkswagen Passat,2450,1.9,Diesel,2001,Mechanical,Utena
Volkswagen Passat,2450,2.0,Diesel,2007,Mechanical,Kaisiadorys
Nissan X-Trail I,2450,2.2,Diesel,2007,Mechanical,Kaunas
Volkswagen Touran,2450,1.9,Diesel,2007,Mechanical,Kaisiadorys
Volkswagen Passat,2450,2.0,Diesel,2007,Mechanical,Kaisiadorys
Toyota Previa,2450,2.4,Gasoline,2005,Automatic,Marijampole
Mercedes-Benz E 320,2450,3.2,Diesel,2003,Automatic,Kaunas
Ford Focus,2450,1.6,Diesel,2007,Mechanical,Naujoji Akmene
Lexus RX 300,2450,3.0,Petrol / Gas,1999,Automatic,Marijampole
Volkswagen Passat,2450,2.0,Diesel,2008,Automatic,Kelme
MINI Cooper,2450,1.6,Gasoline,2002,Mechanical,Klaipeda
Toyota RAV4,2450,2.0,Diesel,2003,Mechanical,Elektrenai
Audi A6 C6,2450,3.0,Diesel,2004,Automatic,Vilnius
Mercedes-Benz ML 270,2450,2.7,Diesel,2000,Automatic,Siauliai
Toyota Land Cruiser,2450,3.0,Diesel,1981,Mechanical,Kaunas
Citroen C1,2470,1.0,Gasoline,2009,Mechanical,Klaipeda
Peugeot 308,2480,1.6,Diesel,2011,Mechanical,Siauliai
Citroen C5,2490,2.0,Diesel,2006,Mechanical,Klaipeda
Ford C-MAX,2490,1.8,Diesel,2008,Mechanical,Alytus
Audi A3,2490,2.0,Gasoline,2005,Mechanical,Elektrenai
Volkswagen Beetle,2490,2.5,Gasoline,2007,Automatic,Vilnius
Alfa Romeo 147,2490,1.9,Diesel,2008,Mechanical,Vilnius
Audi A3,2499,2.0,Gasoline,2003,Mechanical,Radviliskis
Renault Scenic,2499,2.0,Gasoline,2007,Automatic,Marijampole
Volkswagen Passat,2499,1.9,Diesel,2004,Mechanical,Kedainiai
Volvo V50,2499,2.4,Diesel,2006,Automatic,Vilnius
Iveco 35C15,2499,2.8,Diesel,2005,Mechanical,Kaunas
Toyota Yaris,2499,1.4,Diesel,2006,Mechanical,Vilnius
Volkswagen Touran,2499,2.0,Diesel,2005,Automatic,Sakiai
Audi A4 B6,2499,1.9,Diesel,2004,Mechanical,Prienai
Audi A2,2499,1.6,Gasoline,2002,Mechanical,Kaisiadorys
Ford Mondeo,2499,2.0,Diesel,2007,Automatic,Talinas
MINI Cooper,2499,1.6,Gasoline,2004,Mechanical,Vilnius
Citroen C4 Picasso,2499,1.6,Diesel,2008,Mechanical,Kaunas
Ford Focus,2499,1.6,Diesel,2008,Mechanical,Marijampole
Alfa Romeo 159,2499,1.9,Diesel,2007,Mechanical,Vilnius
Volkswagen Golf,2499,1.6,Gasoline,2007,Automatic,Talinas
Skoda Octavia,2499,1.9,Diesel,2009,Mechanical,Talinas
Honda Civic,2499,1.8,Gasoline,2007,Mechanical,Talinas
Volvo XC70,2499,2.4,Diesel,2005,Automatic,Talinas
MINI Cooper S,2499,1.6,Gasoline,2003,Mechanical,Talinas
Chrysler Grand Voyager,2499,2.8,Diesel,2005,Automatic,Talinas
BMW 520,2499,2.0,Diesel,2003,Mechanical,Talinas
Kia Sorento,2499,2.5,Diesel,2004,Automatic,Vilnius
Honda Civic,2499,1.8,Gasoline,2007,Automatic,Talinas
Volvo V70,2499,2.4,Diesel,2005,Automatic,Talinas
Mazda 3,2499,1.6,Gasoline,2007,Mechanical,Talinas
Skoda Roomster,2499,1.6,Gasoline,2007,Automatic,Talinas
Opel Astra,2499,1.6,Gasoline,2005,Mechanical,Talinas
Citroen Berlingo,2499,1.6,Diesel,2011,Mechanical,Talinas
Volkswagen Golf,2499,2.0,Diesel,2008,Automatic,Talinas
Ford Mustang,2499,3.8,Gasoline,2000,Automatic,Talinas
Citroen Jumpy,2499,2.0,Diesel,2007,Mechanical,Talinas
Skoda Superb,2499,2.5,Diesel,2007,Automatic,Talinas
Ford Mondeo,2499,1.8,Diesel,2007,Mechanical,Talinas
Citroen C4,2499,2.0,Diesel,2007,Automatic,Talinas
Mercedes-Benz B 180,2499,2.0,Diesel,2008,Automatic,Talinas
Audi A6,2499,2.4,Gasoline,2005,Mechanical,Talinas
Honda Accord,2499,2.0,Gasoline,2007,Mechanical,Talinas
Cadillac BLS,2499,2.0,Gasoline,2006,Automatic,Talinas
Toyota Corolla Verso,2499,2.2,Diesel,2006,Mechanical,Talinas
Volvo XC70,2499,2.4,Diesel,2003,Automatic,Talinas
Chrysler Grand Voyager,2499,2.8,Diesel,2006,Automatic,Talinas
Volkswagen Passat,2499,2.0,Diesel,2007,Mechanical,Marijampole
SEAT Leon,2499,1.9,Diesel,2007,Mechanical,Talinas
SEAT Mii,2499,1.0,Petrol / Gas,2013,Mechanical,Talinas
Toyota Corolla Verso,2500,2.0,Diesel,2005,Mechanical,Vilnius
Ford S-Max,2500,1.8,Diesel,2006,Mechanical,Kaunas
Toyota Corolla Verso,2500,2.0,Diesel,2005,Mechanical,Vilnius
Volvo V70,2500,2.4,Diesel,2006,Mechanical,Telsiai
BMW 328,2500,2.8,Gasoline,2000,Automatic,Klaipeda
Opel Signum,2500,1.9,Diesel,2008,Mechanical,Klaipeda
Mercedes-Benz E 280 W211,2500,2.8,Diesel,2005,Automatic,Klaipeda
Volkswagen Golf,2500,1.9,Diesel,2006,Mechanical,Vilnius
MINI Cooper,2500,1.6,Gasoline,2007,Mechanical,Vilnius
BMW 330 E46,2500,3.0,Diesel,2002,Mechanical,Vilnius
Honda Accord VII,2500,2.2,Diesel,2005,Mechanical,Klaipeda
Volkswagen Touran I,2500,1.9,Diesel,2008,Mechanical,Vilnius
Mercedes-Benz B 200,2500,2.0,Diesel,2006,Mechanical,Mazeikiai
Mitsubishi Sigma,2500,3.0,Gasoline,1993,Mechanical,Mazeikiai
Ford Scorpio Mk1,2500,2.4,Gasoline,1987,Automatic,Vilnius
Jeep Liberty,2500,2.8,Diesel,2003,Automatic,Mazeikiai
Opel Meriva,2500,1.4,Gasoline,2006,Mechanical,Rokiskis
Opel Astra,2500,1.9,Diesel,2008,Mechanical,Rokiskis
Renault Megane,2500,1.5,Diesel,2009,Mechanical,Taurage
Volkswagen Touran I,2500,2.0,Diesel,2004,Mechanical,Mazeikiai
Seat Alhambra,2500,1.9,Diesel,2003,Mechanical,Telsiai
Renault Megane,2500,1.9,Diesel,2007,Mechanical,Kedainiai
Nissan Micra,2500,1.4,Petrol / Gas,2006,Mechanical,Kedainiai
Opel Meriva,2500,1.4,Petrol / Gas,2008,Mechanical,Kedainiai
Audi A6 C5,2500,2.5,Diesel,2004,Automatic,Kedainiai
Volkswagen Passat B6,2500,2.0,Gasoline,2009,Automatic,Anyksciai
Opel Signum,2500,1.9,Diesel,2008,Mechanical,Kaunas
Citroen C4 Grand Picasso,2500,2.0,Diesel,2008,Automatic,Klaipeda
Volkswagen Golf,2500,1.9,Diesel,2005,Mechanical,Kaunas
Ford Focus,2500,1.6,Diesel,2009,Mechanical,Kaunas
BMW 320 E90,2500,2.0,Diesel,2006,Mechanical,Alytus
Mazda 5,2500,2.0,Diesel,2008,Mechanical,Kaunas
BMW 520 E60,2500,2.2,Gasoline,2003,Automatic,Kaunas
Skoda Roomster,2500,1.6,Diesel,2012,Mechanical,Vilnius
Skoda Roomster,2500,1.6,Diesel,2012,Mechanical,Vilnius
Skoda Fabia,2500,1.2,Gasoline,2010,Mechanical,Marijampole
Iveco Daily,2500,2.3,Diesel,2007,Mechanical,Rokiskis
Volkswagen Passat B2,2500,1.8,Gasoline,1987,Mechanical,Panevezys
Volkswagen Caddy,2500,2.0,Petrol / Gas,2008,Mechanical,Kupiskis
Ford Mondeo,2500,1.8,Diesel,2009,Mechanical,Ukmerge
Audi A3,2500,1.6,Gasoline,2003,Automatic,Klaipeda
Nissan X-Trail,2500,2.2,Diesel,2005,Mechanical,Vilnius
Lada Kitas,2500,1.5,Gasoline,1990,Mechanical,Sirvintos
BMW 320,2500,2.0,Diesel,2005,Mechanical,Panevezys
Citroen Jumper,2500,2.2,Diesel,2008,Mechanical,Vilnius
Mercedes-Benz E 220,2500,2.2,Diesel,2003,Automatic,Vilkaviskis
Volvo V70 II,2500,2.4,Diesel,2004,Automatic,Pasvalys
Audi A6,2500,2.7,Diesel,2007,Automatic,Vilnius
Kia Carnival,2500,2.9,Diesel,2008,Automatic,Vilnius
Volkswagen Passat,2500,2.0,Diesel,2006,Mechanical,Jurbarkas
Volkswagen Touran,2500,1.9,Diesel,2005,Mechanical,Marijampole
Ford Mondeo,2500,2.0,Diesel,2008,Mechanical,Telsiai
Chrysler PT Cruiser,2500,2.4,Petrol / Gas,2008,Automatic,Vilnius
Audi A8,2500,3.7,Petrol / Gas,2003,Automatic,Panevezys
Hyundai Santa Fe I,2500,2.4,Gasoline,2005,Mechanical,Kaunas
Mercedes-Benz E 320,2500,3.2,Diesel,2004,Automatic,Kaunas
Volkswagen Golf V,2500,1.9,Diesel,2005,Automatic,Kaunas
Nissan X-Trail,2500,2.2,Diesel,2002,Mechanical,Jurbarkas
BMW 118,2500,2.0,Gasoline,2007,Mechanical,Ryga
Toyota Avensis II,2500,2.2,Diesel,2006,Mechanical,Gargzdai
Mercedes-Benz 230,2500,2.3,Petrol / Gas,1987,Mechanical,Vilnius
Ford Explorer,2500,4.0,Petrol / Gas,2000,Automatic,Kaunas
Skoda Octavia I,2500,2.0,Gasoline,2004,Mechanical,Marijampole
Toyota Avensis,2500,1.9,Diesel,2004,Mechanical,Vilnius
Opel Astra II,2500,1.6,Gasoline,2005,Automatic,Alytus
BMW 530,2500,2.5,Diesel,2006,Automatic,Kupiskis
Mercedes-Benz E 220 W211,2500,2.2,Diesel,2003,Automatic,Kaunas
Volkswagen Touran,2500,2.0,Diesel,2005,Automatic,Kaisiadorys
Renault Grand Espace,2500,2.2,Diesel,2004,Automatic,Kaunas
BMW 318,2500,2.0,Gasoline,2006,Mechanical,Plunge
Ford Mondeo,2500,2.0,Diesel,2007,Mechanical,Vilnius
Subaru OUTBACK II,2500,2.5,Petrol / Gas,2002,Automatic,Lazdijai
Ford C-MAX I,2500,1.6,Diesel,2007,Mechanical,Vilnius
Volkswagen Caravelle,2500,2.5,Diesel,2016,Mechanical,Gargzdai
Volkswagen Touran,2500,2.0,Gasoline,2004,Mechanical,Pakruojis
Toyota Avensis II,2500,2.2,Diesel,2007,Mechanical,Sakiai
BMW 328 E46,2500,2.8,Petrol / Gas,2000,Automatic,Alytus
Subaru Legacy IV,2500,2.0,Gasoline,2008,Mechanical,Kaunas
Audi A6 C5,2500,2.5,Diesel,2000,Mechanical,Alytus
Opel Combo,2500,1.2,Diesel,2010,Mechanical,Birzai
Volkswagen Passat,2550,2.0,Diesel,2006,Mechanical,Prienai
Volvo V50,2550,2.0,Diesel,2007,Mechanical,Klaipeda
Toyota Corolla,2550,2.2,Diesel,2005,Mechanical,Klaipeda
Volkswagen Passat,2550,2.0,Diesel,2006,Automatic,Kedainiai
Opel Astra,2550,1.3,Diesel,2009,Mechanical,Kaunas
Chrysler Voyager,2550,2.8,Diesel,2007,Automatic,Kaunas
Audi A2,2550,1.4,Gasoline,2003,Mechanical,Mazeikiai
BMW 320,2550,2.0,Diesel,2004,Mechanical,Kedainiai
BMW 735,2550,3.6,Petrol / Gas,2002,Automatic,Klaipeda
Audi A4 B7,2550,2.0,Petrol / Gas,2007,Mechanical,Klaipeda
Mercedes-Benz E 220,2550,2.2,Diesel,2007,Automatic,Kaunas
Nissan X-Trail,2550,2.2,Diesel,2004,Mechanical,Kaunas
Renault Scenic,2550,1.9,Diesel,2009,Mechanical,Kaunas
Renault Scenic,2550,1.6,Gasoline,2008,Mechanical,Kaunas
Opel Astra,2550,1.7,Diesel,2005,Mechanical,Kretinga
Ford Focus,2550,1.8,Petrol / Gas,2008,Mechanical,Marijampole
Volkswagen Polo IV FL,2550,1.2,Gasoline,2009,Mechanical,Vilnius
Volkswagen Passat,2550,1.9,Diesel,2008,Mechanical,Kaisiadorys
Volvo V70,2550,2.4,Diesel,2005,Mechanical,Druskininkai
Volkswagen Transporter,2550,1.9,Diesel,2003,Mechanical,Kaunas
Jeep Patriot,2550,2.0,Diesel,2008,Mechanical,Kaunas
Ford Scorpio,2550,2.0,Gasoline,1991,Mechanical,Klaipeda
Citroen C4 Picasso I,2550,2.0,Diesel,2007,Automatic,Radviliskis
BMW 320 E90,2550,2.0,Diesel,2005,Mechanical,Vilnius
Opel Vectra,2550,1.9,Diesel,2009,Automatic,Marijampole
Ford Focus,2550,1.6,Diesel,2008,Mechanical,Kaunas
Seat Toledo,2550,1.6,Gasoline,2005,Mechanical,Radviliskis
Mercedes-Benz E 220,2550,2.2,Diesel,2002,Automatic,Klaipeda
Volkswagen Jetta,2550,1.9,Diesel,2008,Mechanical,Vilkaviskis
Volkswagen Passat B6,2550,2.0,Gasoline,2006,Mechanical,Vilnius
Fiat Scudo,2550,2.0,Gasoline,2006,Mechanical,Klaipeda
Audi A4 B7,2550,3.0,Diesel,2005,Automatic,Kaunas
Mitsubishi Pajero,2555,1.8,Gasoline,2001,Mechanical,Vilnius
BMW 530,2560,3.0,Diesel,2002,Automatic,Klaipeda
Volkswagen Passat,2590,2.0,Diesel,2005,Mechanical,Kaunas
Chevrolet Epica,2595,2.5,Gasoline,2007,Automatic,Radviliskis
Opel Zafira,2599,2.2,Gasoline,2007,Mechanical,Marijampole
Citroen C4,2599,1.6,Diesel,2007,Mechanical,Kretinga
Ford S-Max,2599,2.0,Diesel,2006,Mechanical,Rokiskis
Opel Corsa,2599,1.3,Diesel,2008,Automatic,Kaunas
Opel Tigra,2599,1.4,Gasoline,2009,Mechanical,Marijampole
Opel Corsa,2599,1.2,Diesel,2008,Mechanical,Marijampole
Nissan Murano,2599,3.5,Gasoline,2006,Automatic,Talinas
Opel Zafira,2599,1.8,Gasoline,2006,Mechanical,Talinas
Honda Accord,2599,2.0,Gasoline,2006,Automatic,Talinas
Honda Civic,2599,1.3,Gasoline,2006,Mechanical,Talinas
Skoda Octavia,2599,1.6,Gasoline,2006,Mechanical,Talinas
Audi A4,2599,2.0,Diesel,2006,Automatic,Talinas
Mazda 6,2599,2.0,Diesel,2008,Mechanical,Talinas
Ford Focus,2599,1.6,Gasoline,2008,Mechanical,Talinas
Toyota Yaris,2600,1.4,Diesel,2009,Mechanical,Marijampole
Ford S-Max,2600,2.0,Gasoline,2007,Mechanical,Telsiai
BMW 525 E39,2600,2.5,Diesel,2002,Mechanical,Marijampole
Trabant 601,2600,0.6,Gasoline,1990,Mechanical,Klaipeda
Ford Focus,2600,1.6,Diesel,2009,Mechanical,Klaipeda
BMW 320 E46,2600,2.0,Diesel,2004,Mechanical,Vilnius
Audi A4 B7,2600,2.5,Diesel,2005,Automatic,Siauliai
Jaguar S-Type,2600,4.0,Gasoline,2001,Automatic,Kaunas
Volkswagen Polo V,2600,1.2,Diesel,2010,Mechanical,Vilnius
Nissan Qashqai I,2600,1.5,Diesel,2012,Mechanical,Vilnius
Mercedes-Benz C 270 W203,2600,2.7,Diesel,2001,Automatic,Vilnius
Opel Astra,2600,1.9,Diesel,2007,Mechanical,Vilnius
Ford C-MAX I,2600,1.6,Diesel,2007,Mechanical,Marijampole
Volkswagen Golf,2600,1.6,Gasoline,2004,Mechanical,Utena
Honda Civic,2600,1.3,N/A,2008,Automatic,Vilnius
Opel Kadett,2600,1.6,Gasoline,1990,Mechanical,Jurbarkas
Skoda Octavia,2600,1.9,Diesel,2004,Mechanical,Kedainiai
Opel Zafira,2600,1.7,Diesel,2010,Mechanical,Marijampole
Peugeot 307,2600,2.0,Diesel,2005,Mechanical,Kretinga
Ford Transit V (2000-2006),2600,2.0,Diesel,2001,Mechanical,Kaunas
Volkswagen Passat,2600,2.0,Diesel,2006,Automatic,Jurbarkas
Mercedes-Benz B 200,2600,2.0,Diesel,2005,Mechanical,Klaipeda
Kia Sportage,2600,2.0,Diesel,2005,Mechanical,Klaipeda
Land Rover Freelander I,2600,2.0,Diesel,2004,Mechanical,Vilnius
Opel Meriva I,2600,1.3,Diesel,2008,Mechanical,Kaunas
Jeep Grand Cherokee,2600,4.7,Petrol / Gas,2002,Automatic,Vilnius
Volkswagen Golf Plus,2600,1.4,Gasoline,2007,Mechanical,Siauliai
Opel Astra,2600,1.7,Diesel,2007,Mechanical,Vilnius
BMW 525,2600,2.5,Diesel,2006,Automatic,Gargzdai
Mercedes-Benz CLK 240,2600,2.6,Gasoline,2002,Automatic,Vilnius
Honda Civic,2600,2.2,Diesel,2007,Mechanical,Alytus
BMW X3 E83,2600,3.0,Diesel,2007,Automatic,Vilnius
Honda FR-V,2600,2.2,Diesel,2007,Mechanical,Alytus
Volvo V70,2600,2.4,Diesel,2005,Mechanical,Pakruojis
MINI ONE,2600,1.4,Diesel,2004,Mechanical,Vilnius
Kia Sorento,2600,2.5,Diesel,2005,Automatic,Marijampole
Volkswagen Transporter,2600,1.6,Diesel,1989,Mechanical,Vilnius
Citroen C4 Grand Picasso,2600,1.6,Diesel,2007,Mechanical,Taurage
Volkswagen Sharan,2600,1.9,Diesel,2002,Mechanical,Utena
Peugeot Partner,2600,1.6,Gasoline,2005,Mechanical,Utena
Opel Zafira B,2600,1.6,Petrol / Gas,2008,Mechanical,Vilnius
Opel Frontera,2600,3.2,Petrol / Gas,1999,Automatic,Telsiai
Toyota Yaris Verso,2600,1.3,Diesel,2004,Mechanical,Kaunas
Mercedes-Benz E 270,2650,2.7,Diesel,2004,Automatic,Kaunas
Volkswagen Golf,2650,1.9,Diesel,2004,Mechanical,Kaunas
Volkswagen Touran I,2650,1.9,Diesel,2004,Automatic,Kedainiai
Subaru Forester,2650,2.0,Gasoline,2003,Mechanical,Jurbarkas
Chrysler Grand Voyager,2650,2.8,Diesel,2006,Automatic,Telsiai
Volkswagen Golf,2650,2.0,Diesel,2004,Automatic,Panevezys
Lexus IS 220,2650,2.2,Diesel,2006,Mechanical,Vilnius
Mercedes-Benz Vito W639,2650,2.1,Diesel,2007,Mechanical,Stokholmas
Peugeot 207,2650,1.4,Gasoline,2007,Mechanical,Klaipeda
Ford C-MAX I,2650,1.8,Diesel,2007,Mechanical,Mazeikiai
Volkswagen Golf Plus,2650,1.6,Gasoline,2005,Mechanical,Utena
Seat Toledo,2650,2.0,Diesel,2005,Mechanical,Kedainiai
Audi A6,2650,2.7,Diesel,2006,Mechanical,Kedainiai
Mercedes-Benz E 280,2650,3.2,Diesel,2005,Automatic,Kedainiai
Volkswagen Touran,2650,2.0,Diesel,2006,Mechanical,Gargzdai
Renault Megane III,2650,1.5,Diesel,2009,Mechanical,Klaipeda
GAZ 24,2650,2.4,Gasoline,1972,Mechanical,Kaisiadorys
BMW 520 E60,2650,2.0,Diesel,2006,Mechanical,Siauliai
Ford C-MAX I,2650,1.6,Diesel,2004,Mechanical,Kretinga
Volkswagen Passat B6,2650,2.0,Diesel,2010,Mechanical,Kaunas
Volkswagen Golf,2650,1.9,Diesel,2007,Mechanical,Anyksciai
Volkswagen Touran,2650,1.9,Diesel,2007,Mechanical,Kaunas
Mazda 6 I,2650,2.0,Diesel,2007,Mechanical,Jurbarkas
Volvo S80,2650,2.4,Gasoline,2004,Automatic,Alytus
Toyota Corolla,2650,1.6,Gasoline,2005,Mechanical,Vilnius
Mercedes-Benz 207,2650,2.4,Diesel,1985,Mechanical,Klaipeda
Ssangyong MUSSO,2650,2.9,Diesel,1999,Mechanical,Klaipeda
Opel Frontera B,2650,2.2,Diesel,2002,Mechanical,Klaipeda
Subaru Forester,2650,2.5,Gasoline,2005,Automatic,Klaipeda
Honda Prelude,2650,1.8,Gasoline,1987,Mechanical,Akmene
Opel Astra,2650,1.8,Gasoline,2005,Automatic,Birzai
Volkswagen Passat,2650,2.0,Gasoline,2005,Mechanical,Radviliskis
Mercedes-Benz B 180,2650,2.0,Diesel,2006,Mechanical,Kaunas
Iveco Daily 35S14,2650,2.3,Diesel,2006,Mechanical,Radviliskis
"Toyota Avensis 2,0 STW D-4D  DPF",2650,2.0,Diesel,2007,Mechanical,Radviliskis
Honda Jazz,2650,1.3,Gasoline,2007,Mechanical,Marijampole
Renault Modus,2650,1.5,Diesel,2008,Mechanical,Taurage
Toyota Corolla,2650,2.2,Diesel,2008,Mechanical,Kaisiadorys
Mercedes-Benz 300,2650,3.0,Diesel,2003,Automatic,Kaunas
Volkswagen Passat,2650,1.9,Diesel,2008,Mechanical,Kedainiai
Honda Civic,2650,2.2,Diesel,2007,Mechanical,Siauliai
Ford Focus C-Max,2650,1.6,Diesel,2007,Mechanical,Kaunas
Seat Toledo,2650,2.0,Diesel,2006,Automatic,Vilnius
Seat Leon,2650,1.9,Diesel,2007,Mechanical,Marijampole
Skoda Yeti,2650,2.0,Diesel,2011,Mechanical,Kretinga
ZAZ 965,2650,0.9,Gasoline,1960,Mechanical,Siauliai
