title,price,liter,fuel_type,year,transmission,city
Mitsubishi Outlander,15950,2.0,Gasoline,2017,Automatic,Kaunas
Volkswagen Golf,600,2.0,Diesel,2006,Mechanical,Ukmerge
Volkswagen Passat,650,1.6,Gasoline,1998,Mechanical,Vilnius
Opel Zafira A,730,2.0,Diesel,2001,Mechanical,Kaunas
BMW 525 E39,730,2.5,Diesel,2002,Automatic,Silute
Skoda Octavia,800,1.6,Gasoline,2000,Mechanical,Radviliskis
Audi A4 B5,800,1.6,Gasoline,1996,Mechanical,Ukmerge
Skoda Octavia,879,1.9,Diesel,2003,Mechanical,Siauliai
Renault Laguna,950,1.6,Gasoline,2002,Mechanical,Vilnius
Audi A3,990,1.9,Diesel,2000,Automatic,Vilnius
Peugeot 307,1000,2.0,Diesel,2002,Mechanical,Vilnius
Toyota Avensis II,1050,2.0,Diesel,2005,Mechanical,Rokiskis
Opel Astra II,1100,2.0,Diesel,1999,Mechanical,Marijampole
Opel Omega,1150,2.5,Diesel,2004,Automatic,Siauliai
Skoda Superb,1150,1.9,Diesel,2006,Mechanical,Vilnius
Volkswagen Passat B5,1199,1.9,Diesel,1998,Mechanical,Vilnius
Volkswagen Lupo,1200,1.2,Diesel,1999,Automatic,Kaunas
Volvo S60 I,1250,2.4,Gasoline,2001,Mechanical,Kaunas
Opel Zafira,1300,1.8,Gasoline,2003,Mechanical,Vilkaviskis
Toyota Avensis,1350,2.0,Diesel,2004,Mechanical,Kaunas
Volkswagen Passat,1350,2.0,Gasoline,2001,Automatic,Siauliai
Fiat Punto,1350,1.2,Diesel,2008,Mechanical,Vilnius
Dodge Caliber,1350,2.0,Diesel,2006,Mechanical,Ukmerge
Volkswagen Passat B5,1480,1.9,Diesel,2000,Mechanical,Telsiai
Peugeot 407,1480,2.0,Diesel,2005,Mechanical,Taurage
Mercedes-Benz CLK 270,1499,2.7,Diesel,2004,Automatic,Silale
Volkswagen Golf V,1500,1.4,Gasoline,2006,Mechanical,Klaipeda
Skoda Octavia,1500,1.9,Diesel,2007,Mechanical,Vilnius
Mercedes-Benz C 220 W203,1500,2.2,Diesel,2003,Automatic,Kaunas
Opel Vectra C,1500,2.0,Diesel,2004,Mechanical,Jurbarkas
BMW 530 E39,1550,3.0,Diesel,2001,Mechanical,Klaipeda
BMW 323 E46,1550,2.5,Gasoline,2005,Mechanical,Vilnius
Opel Signum,1550,2.2,Diesel,2004,Mechanical,Kaunas
BMW 320 E46,1550,2.0,Diesel,2004,Mechanical,Utena
Volkswagen Touran,1550,1.9,Diesel,2005,Mechanical,Siauliai
Opel Astra III,1550,1.9,Diesel,2005,Mechanical,Ukmerge
Renault Megane II,1580,1.9,Diesel,2005,Mechanical,Taurage
Toyota Avensis,1590,2.0,Diesel,2004,Mechanical,Ukmerge
Mercedes-Benz E 280,1600,2.7,Diesel,2005,Automatic,Klaipeda
Audi A3,1600,1.8,Gasoline,2001,Mechanical,Kretinga
Mercedes-Benz C 320 W203,1600,3.2,Gasoline,2003,Automatic,Klaipeda
Nissan Almera,1600,50.,Diesel,2003,Mechanical,Vilnius
Citroen C4,1600,1.6,Gasoline,2005,Mechanical,Vilkaviskis
Volkswagen Passat B6,1649,1.9,Diesel,2006,Mechanical,Siauliai
Volkswagen Passat,1650,1.9,Diesel,2001,Mechanical,Siauliai
Opel Vectra,1650,3.0,Diesel,2008,Mechanical,Kaunas
